Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,824002,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,01,Animals; live,0,,,,,,,,66774,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,1321,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,1831628,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,32,Argentina,,,,,,,,,01,Animals; live,0,,,,,,,,224024,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,1131497,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,170,Colombia,,,,,,,,,01,Animals; live,0,,,,,,,,77008,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,01,Animals; live,0,,,,,,,,851,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,20064,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,591,Panama,,,,,,,,,01,Animals; live,0,,,,,,,,267,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,376900,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,455,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,862,Venezuela,,,,,,,,,01,Animals; live,0,,,,,,,,562,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,1415238,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,878042,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,170,Colombia,,,,,,,,,01,Animals; live,0,,,,,,,,218622,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,01,Animals; live,0,,,,,,,,488,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,16860,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,300774,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,452,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,1812640,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,1029033,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,01,Animals; live,0,,,,,,,,27247,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,170,Colombia,,,,,,,,,01,Animals; live,0,,,,,,,,141672,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,15447,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,412145,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,642,Romania,,,,,,,,,01,Animals; live,0,,,,,,,,888,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,01,Animals; live,0,,,,,,,,422,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,185786,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,1979920,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,32,Argentina,,,,,,,,,01,Animals; live,0,,,,,,,,45369,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,1292294,,,0
