NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,PRODUCCION,CONSUMO_INTERMEDIO,VAB,YEAR,TIPO
AZUAY,01,Sigsig,0109,77475.4013991175,28328.7247920502,49146.6766070673,2018,Provicional
AZUAY,01,Oña,0110,10471.5260917939,4226.56732629716,6244.9587654967,2018,Provicional
AZUAY,01,Chordeleg,0111,41839.9349312783,16851.0632434027,24988.8716878755,2018,Provicional
AZUAY,01,El Pan,0112,14508.5294603219,5969.81218650019,8538.71727382174,2018,Provicional
AZUAY,01,Sevilla De Oro,0113,455624.816621709,278949.977906781,176674.838714929,2018,Provicional
AZUAY,01,Guachapala,0114,15788.1068956731,7292.03753503603,8496.06936063704,2018,Provicional
AZUAY,01,Camilo Ponce Enríquez,0115,76414.7059511882,27714.3174568898,48700.3884942984,2018,Provicional
BOLÍVAR,02,Guaranda,0201,698466.061659276,273567.963953184,424898.097706092,2018,Provicional
BOLÍVAR,02,Chillanes,0202,41017.517542243,14330.4305083912,26687.0870338518,2018,Provicional
BOLÍVAR,02,Chimbo,0203,53802.5585785737,19913.6590547583,33888.8995238154,2018,Provicional
BOLÍVAR,02,Echeandía,0204,52318.7305586764,19685.2340251199,32633.4965335565,2018,Provicional
BOLÍVAR,02,San Miguel,0205,76767.9883793307,27756.3347640763,49011.6536152544,2018,Provicional
BOLÍVAR,02,Caluma,0206,91293.1875998304,36863.6032717662,54429.5843280642,2018,Provicional
BOLÍVAR,02,Las Naves,0207,29141.7768975681,11719.4850208059,17422.2918767622,2018,Provicional
CAÑAR,03,Azogues,0301,650486.437682515,263544.303466497,386942.134216018,2018,Provicional
CAÑAR,03,Biblián,0302,122295.766295551,50183.8453759213,72111.9209196301,2018,Provicional
CAÑAR,03,Cañar,0303,345426.052052406,171063.130100753,174362.921951653,2018,Provicional
CAÑAR,03,La Troncal,0304,673651.391372749,326398.450756215,347252.940616535,2018,Provicional
CAÑAR,03,El Tambo,0305,100690.987406075,44481.8026274872,56209.1847785876,2018,Provicional
CAÑAR,03,Déleg,0306,25504.7674604049,10208.2799542614,15296.4875061434,2018,Provicional
CAÑAR,03,Suscal,0307,21585.997653568,8569.09588900485,13016.9017645632,2018,Provicional
CARCHI,04,Tulcán,0401,645061.134764278,250360.721029328,394700.413734949,2018,Provicional
CARCHI,04,Bolívar,0402,68438.1557077306,25959.7179259375,42478.4377817931,2018,Provicional
CARCHI,04,Espejo,0403,106331.782069281,39146.4589582336,67185.3231110472,2018,Provicional
CARCHI,04,Mira,0404,54515.8596974544,19191.7537416601,35324.1059557944,2018,Provicional
CARCHI,04,Montúfar,0405,152314.835206907,56366.8276056836,95948.0076012234,2018,Provicional
CARCHI,04,San Pedro de Huaca,0406,49850.7118098359,21512.095022475,28338.616787361,2018,Provicional
COTOPAXI,05,Latacunga,0501,2159240.15373622,907238.877956105,1252001.27578012,2018,Provicional
COTOPAXI,05,La Maná,0502,256944.584041221,95769.0598576071,161175.524183614,2018,Provicional
COTOPAXI,05,Pangua,0503,65092.6126907943,22780.7041648011,42311.9085259932,2018,Provicional
COTOPAXI,05,Pujilí,0504,238411.327708558,86267.9584220953,152143.369286463,2018,Provicional
COTOPAXI,05,Salcedo,0505,467790.080605718,195975.532658355,271814.547947364,2018,Provicional
COTOPAXI,05,Saquisilí,0506,75715.9861271075,29655.5790543905,46060.407072717,2018,Provicional
COTOPAXI,05,Sigchos,0507,40728.6204584164,13374.9525851549,27353.6678732615,2018,Provicional
CHIMBORAZO,06,Riobamba,0601,2440609.53438207,1030398.30353353,1410211.23084854,2018,Provicional
CHIMBORAZO,06,Alausí,0602,104361.74591292,35346.3399107669,69015.4060021528,2018,Provicional
CHIMBORAZO,06,Colta,0603,85835.2333616847,30431.2891354893,55403.9442261954,2018,Provicional
CHIMBORAZO,06,Chambo,0604,51338.0587581671,21099.9352423378,30238.1235158292,2018,Provicional
