CANTON_CODIGO,VOTOS_DANIEL_23,VOTOS_LUISA_23,SUFRAGANTES_23,PORC_LUISA_23,PORC_DANIEL_23,VOTOS_DANIEL_25,VOTOS_LUISA_25,SUFRAGANTES_25,PORC_LUISA_25,PORC_DANIEL_25
0341,4.0,1.0,5.0,0.2,0.8,4.0,2.0,7.0,0.2857142857142857,0.5714285714285714
0345,2513.0,1491.0,4195.0,0.35542312276519666,0.599046483909416,2499.0,1451.0,4129.0,0.3514168079438121,0.6052312908694599
0350,82977.0,85118.0,181880.0,0.46798988343963055,0.4562183857488454,87666.0,82767.0,182832.0,0.45269427671304807,0.4794893672880021
0351,105.0,65.0,179.0,0.36312849162011174,0.5865921787709497,147.0,114.0,275.0,0.41454545454545455,0.5345454545454545
0355,24472.0,24272.0,52321.0,0.4639055063932264,0.46772806330154243,25386.0,23674.0,52312.0,0.4525539073252791,0.485280623948616
0360,11697.0,5729.0,18720.0,0.3060363247863248,0.6248397435897436,12523.0,5080.0,18683.0,0.27190494032007706,0.6702884975646309
0361,102.0,157.0,265.0,0.5924528301886792,0.3849056603773585,156.0,184.0,351.0,0.5242165242165242,0.4444444444444444
0365,23187.0,27846.0,55874.0,0.498371335504886,0.4149872928374557,24775.0,26947.0,56051.0,0.4807585948511177,0.44200817112986385
0370,12451.0,6357.0,20069.0,0.3167571877024266,0.6204095869251084,13293.0,5811.0,20235.0,0.28717568569310603,0.6569310600444774
0371,264.0,346.0,651.0,0.5314900153609831,0.4055299539170507,514.0,439.0,988.0,0.444331983805668,0.520242914979757
0375,10136.0,9620.0,21130.0,0.4552768575485092,0.4796971131093232,10810.0,9542.0,21507.0,0.4436695029525271,0.5026270516575998
0380,10804.0,24671.0,38263.0,0.6447743250659906,0.2823615503227661,12236.0,24062.0,38737.0,0.6211632289542298,0.3158737124712807
0381,0.0,0.0,0.0,,,32.0,37.0,70.0,0.5285714285714286,0.45714285714285713
0385,14904.0,40462.0,61160.0,0.6615761935905821,0.2436886854153041,18649.0,38192.0,62075.0,0.6152557390253726,0.30042690293999197
0390,814507.0,707297.0,1557450.0,0.45413785354264985,0.5229747343413914,895776.0,669182.0,1216324.0,0.5501675540398775,0.7364616664638698
0391,42.0,22.0,72.0,0.3055555555555556,0.5833333333333334,73.0,43.0,123.0,0.34959349593495936,0.5934959349593496
0395,11268.0,28489.0,44002.0,0.6474478432798509,0.2560792691241307,14029.0,27578.0,45466.0,0.606563146087186,0.30856024281880967
0400,52201.0,53250.0,116994.0,0.45515154623314014,0.44618527445851924,66418.0,49937.0,127529.0,0.39157368128033626,0.5208070321260262
0401,1269.0,1456.0,2950.0,0.4935593220338983,0.4301694915254237,,,,,
0405,25425.0,23418.0,53198.0,0.44020451896687846,0.47793150118425504,26175.0,25051.0,55599.0,0.4505656576557132,0.4707818485943992
0410,43244.0,64427.0,116856.0,0.5513366878893681,0.37006229889778874,47739.0,65318.0,122199.0,0.5345215590962283,0.39066604473031696
0411,2.0,1.0,4.0,0.25,0.5,2.0,3.0,5.0,0.6,0.4
0415,11499.0,26347.0,42264.0,0.6233910656823775,0.2720755252697331,14208.0,24816.0,42519.0,0.583644958724335,0.33415649474352643
0420,51378.0,68376.0,131259.0,0.5209242794779787,0.3914245880282495,57963.0,63433.0,132400.0,0.4791012084592145,0.4377870090634441
0425,29057.0,23065.0,55719.0,0.4139521527665608,0.5214917712091028,35007.0,22132.0,60755.0,0.3642827750802403,0.5761994897539298
0430,13560.0,27644.0,46887.0,0.5895877322072216,0.28920596327340203,16487.0,26471.0,47856.0,0.5531385824139083,0.3445127047810097
0435,13318.0,31621.0,48956.0,0.6459065283111365,0.272040199362693,15420.0,30265.0,49835.0,0.6073041035416876,0.3094210895956657
0440,77357.0,122017.0,216385.0,0.5638884395868475,0.3574970538623287,82515.0,121005.0,220099.0,0.5497753283749586,0.37489947705350773
0441,3.0,0.0,3.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0
0445,12561.0,38243.0,54735.0,0.6986937060381839,0.2294875308303645,12944.0,39611.0,56428.0,0.7019741972070603,0.22938966470546537
0446,2647.0,12627.0,16156.0,0.781567219608814,0.16384005942064866,2425.0,13208.0,16433.0,0.8037485547374186,0.14756891620519685
0450,56747.0,112357.0,181527.0,0.618954756041801,0.3126091435433847,57684.0,116015.0,185726.0,0.624656752420232,0.3105865630014107
0451,5.0,3.0,8.0,0.375,0.625,7.0,3.0,10.0,0.3,0.7
0455,24962.0,28312.0,59402.0,0.47661694892427864,0.4202215413622437,26496.0,28478.0,60169.0,0.4733002044242052,0.440359653642241
0460,6209.0,15529.0,24285.0,0.6394482190652666,0.2556722256536957,6941.0,15196.0,24435.0,0.6218948229997954,0.2840597503580929
0465,7497.0,19737.0,29502.0,0.6690054911531421,0.25411836485661987,7966.0,19835.0,30008.0,0.6609904025593175,0.2654625433217809
0470,9981.0,25248.0,38734.0,0.6518304332111323,0.25768059069551297,10772.0,24734.0,38769.0,0.6379839562537079,0.27785086022337435
0475,12891.0,28480.0,45465.0,0.6264159243374025,0.28353678653909603,14495.0,27618.0,45666.0,0.6047825515700959,0.31741339289624665
0476,2068.0,8627.0,11661.0,0.7398164822913986,0.17734328102221078,2498.0,8350.0,11735.0,0.7115466553046442,0.21286749041329356
0477,3861.0,11862.0,17039.0,0.6961676154703914,0.22659780503550678,3952.0,11953.0,17018.0,0.7023739569867199,0.23222470325537667
0480,35423.0,52685.0,98203.0,0.5364907385721414,0.36071199454191827,39384.0,50612.0,99256.0,0.5099137583622149,0.39679213347303943
0485,13141.0,19380.0,35531.0,0.5454391939433171,0.36984604992823167,14829.0,17688.0,35170.0,0.5029286323571226,0.42163775945408016
0490,5297.0,9809.0,16475.0,0.5953869499241274,0.3215174506828528,5911.0,9279.0,16468.0,0.5634564002914744,0.35893854748603354
0495,10280.0,20225.0,34630.0,0.5840311868322264,0.29685244008085476,12697.0,18457.0,34757.0,0.5310297206318152,0.36530770779986765
0500,32450.0,43524.0,84119.0,0.5174098598414152,0.38576302618908925,37892.0,41623.0,86930.0,0.47881053721385025,0.43589094673875534
0505,11999.0,23007.0,38576.0,0.5964070924927416,0.3110483201990875,14543.0,20718.0,38580.0,0.5370139968895801,0.3769569725246242
0510,8416.0,18337.0,29219.0,0.6275711009959273,0.28803176015606285,9988.0,17179.0,29537.0,0.5816095067203846,0.3381521481531638
0515,50151.0,57256.0,119432.0,0.4794025051912385,0.4199125862415433,57385.0,51969.0,120296.0,0.4320093768703864,0.4770316552503824
0516,7744.0,20992.0,31541.0,0.6655464316286738,0.24552170191179734,10073.0,19876.0,32595.0,0.6097867771130542,0.3090351280871299
0520,6600.0,20552.0,30572.0,0.6722491168389376,0.21588381525578962,8733.0,19378.0,31369.0,0.6177436322483981,0.27839586853262777
0525,18258.0,33008.0,57718.0,0.5718839876641603,0.31633112720468487,21779.0,30912.0,58356.0,0.5297141682089246,0.3732092672561519
0530,9759.0,16916.0,30063.0,0.5626850281076407,0.3246183015667099,12650.0,14520.0,30524.0,0.4756912593369152,0.41442799108897915
0535,8071.0,13081.0,23801.0,0.5495987563547751,0.33910339901684805,9924.0,11885.0,24166.0,0.4918066705288422,0.4106596044028801
0540,47957.0,76546.0,137784.0,0.5555507170643906,0.34805928119375257,56851.0,70018.0,138714.0,0.5047652003402685,0.4098432746514411
