fecha,numerador,denominador
2019-03-11T00:00:00Z,248300.81,21650640.24
2019-03-12T00:00:00Z,236638.37,21672721.69
2019-03-13T00:00:00Z,233116.34,21691891.52
2019-03-14T00:00:00Z,233029.77,21700043.94
2019-03-15T00:00:00Z,233029.77,21710644.58
2019-03-18T00:00:00Z,195405.1,21720626.92
2019-03-19T00:00:00Z,195405.1,21716487.42
2019-03-20T00:00:00Z,195405.1,21710174.57
2019-03-21T00:00:00Z,195405.1,21711218.6
2019-03-22T00:00:00Z,195405.1,21712745.24
2019-03-25T00:00:00Z,195405.1,21737873.17
2019-03-26T00:00:00Z,183354.52,21749765
2019-03-27T00:00:00Z,182969.3,21836627.85
2019-03-28T00:00:00Z,239664.36,21846990.82
2019-03-29T00:00:00Z,228796.98,21866659.84
2019-03-31T00:00:00Z,228796.98,21619336.46
2019-04-01T00:00:00Z,225016.79,21596896.91
2019-04-02T00:00:00Z,218183.6,21632493.23
2019-04-03T00:00:00Z,218183.6,21646361.05
2019-04-04T00:00:00Z,218183.6,21671419.37
2019-04-05T00:00:00Z,311673.85,21711081.02
2019-04-08T00:00:00Z,308067.73,21711797.61
2019-04-09T00:00:00Z,298166.83,21717565.95
2019-04-10T00:00:00Z,298166.83,21733372.28
2019-04-11T00:00:00Z,286452.57,21767361.07
2019-04-12T00:00:00Z,286452.57,21767361.07
2019-04-15T00:00:00Z,275976.57,21828148.63
2019-04-16T00:00:00Z,275976.57,21845764.77
2019-04-17T00:00:00Z,275976.57,21901675.27
2019-04-18T00:00:00Z,254472.75,21943040.77
2019-04-22T00:00:00Z,242412.33,21914705.35
2019-04-23T00:00:00Z,242105.98,21886202.39
2019-04-24T00:00:00Z,242105.98,21958511.34
2019-04-25T00:00:00Z,276879.76,21971120.61
2019-04-26T00:00:00Z,260621.8,21974547.9
2019-04-29T00:00:00Z,227335.14,22014141.54
2019-04-30T00:00:00Z,225068.34,21796276.2
2019-05-01T00:00:00Z,202601.63,21841365.46
2019-05-02T00:00:00Z,196751.74,21909341.74
2019-05-06T00:00:00Z,261124.06,21992543.89
2019-05-07T00:00:00Z,241722.64,21989501.29
2019-05-08T00:00:00Z,241722.64,22006215.06
2019-05-09T00:00:00Z,241722.64,22032226.08
2019-05-10T00:00:00Z,236925.75,22035457.23
2019-05-13T00:00:00Z,236925.75,22033737.06
2019-05-14T00:00:00Z,227897.98,22086926.45
